,CPU Model,Manufacturer,Socket,Core,Power,Clock Frequency,Cache Size,Score (CPU Mark),Price,,,,,,,,,,,,,,,,,
163,Core i3-10105F,Intel,LGA1200,4,65,3.7,6,8935,69.99,,,,,,,,,,,,,,,,,
164,Athlon 200GE,AMD,AM4,2,35,3.2,4,4089,123.89,,,,,,,,,,,,,,,,,
165,Core i5-11600KF,Intel,LGA1200,6,125,3.9,12,19541,195,,,,,,,,,,,,,,,,,
166,Core i5-12500,Intel,LGA1700,6,65,3,18,19753,202,,,,,,,,,,,,,,,,,
167,Core i9-11900KF,Intel,LGA1200,8,125,3.5,16,24775,399,,,,,,,,,,,,,,,,,
168,Ryzen 5 2500X,AMD,AM4,4,65,3.6,8,9455,0,,,,,,,,,,,,,,,,,
169,Ryzen 7 4700U,AMD,FP6,8,15,2,8,13232,0,,,,,,,,,,,,,,,,,
170,Ryzen 7 5700U,AMD,FP6,8,15,1.8,8,15670,0,,,,,,,,,,,,,,,,,
171,Ryzen 7 3700U,AMD,FP5,4,15,2.3,4,7091,0,,,,,,,,,,,,,,,,,
172,Ryzen 5 5500U,AMD,FP6,6,15,2.1,8,12864,0,,,,,,,,,,,,,,,,,
173,Ryzen 7 3750H,AMD,FP5,4,35,2.3,4,8047,0,,,,,,,,,,,,,,,,,
174,Ryzen 9 4900HS,AMD,FP6,8,35,3,8,18868,0,,,,,,,,,,,,,,,,,
175,Core i5-3470,Intel,LGA1155,4,77,3.2,6,4670,72.95,,,,,,,,,,,,,,,,,
176,FX-9590,AMD,AM3+,8,220,4.7,8,6794,288.02,,,,,,,,,,,,,,,,,
177,Core i7-4770,Intel,LGA1150,4,84,3.4,8,7054,158.69,,,,,,,,,,,,,,,,,
178,Pentium G3258,Intel,LGA1150,2,54,3.2,3,2053,119.01,,,,,,,,,,,,,,,,,
179,Pentium Gold G5400,Intel,LGA1151-2,2,58,3.7,4,3738,115.69,,,,,,,,,,,,,,,,,
180,Core i9-7900X,Intel,LGA2066,10,140,3.3,14,21036,295,,,,,,,,,,,,,,,,,
181,Core i7-9700,Intel,LGA1151-2,8,65,3,12,13244,210.54,,,,,,,,,,,,,,,,,
182,Ryzen 5 3600XT,AMD,AM4,6,95,3.8,32,18572,599.95,,,,,,,,,,,,,,,,,
183,Core i9-10850K,Intel,LGA1200,10,125,3.6,20,22105,209.99,,,,,,,,,,,,,,,,,
184,Core i9-11900,Intel,LGA1200,8,65,2.5,16,22452,378.89,,,,,,,,,,,,,,,,,
185,Core i5-3230M,Intel,PGA988,2,35,2.6,3,2564,99.99,,,,,,,,,,,,,,,,,
186,Phenom II X6 1090T,AMD,AM3,6,125,3.2,6,3801,279.99,,,,,,,,,,,,,,,,,
187,Core i7-2700K,Intel,LGA1155,4,95,3.5,8,1820,169.88,,,,,,,,,,,,,,,,,
188,Ryzen 5 7600,AMD,AM5,6,65,3.8,32,27059,196.99,,,,,,,,,,,,,,,,,
189,Core i7-8086K,Intel,LGA1151-2,6,95,4,12,14073,345,,,,,,,,,,,,,,,,,
190,Ryzen 7 3800XT,AMD,AM4,8,105,3.8,32,23552,329.99,,,,,,,,,,,,,,,,,
